O9G_000001	PITH domain-containing protein
O9G_001230	Vacuolar sorting protein 9 domain-containing protein
O9G_001231	hypothetical protein
O9G_001232	hypothetical protein
O9G_001233	hypothetical protein
O9G_001234	GPI inositol-deacylase PGAP1-like domain-containing protein
O9G_001235	SEC7-like, alpha orthogonal bundle domain-containing protein
O9G_001236	Adenylate kinase 7/8 domain-containing protein
O9G_001237	hypothetical protein
O9G_001238	hypothetical protein
O9G_001239	hypothetical protein
O9G_001240	hypothetical protein
O9G_001241	hypothetical protein
O9G_001242	Dynein regulator LIS1 domain-containing protein
O9G_001243	hypothetical protein
O9G_001244	tRNA transferase Trm5/Tyw2 domain-containing protein
O9G_001245	Type II pantothenate kinase domain-containing protein
O9G_001246	UAA transporter domain-containing protein
O9G_001247	Rpn11/EIF3F domain-containing protein
O9G_001248	Histone deacetylase 3
O9G_001249	hypothetical protein
O9G_001250	hypothetical protein
O9G_001251	Mitochondrial substrate/solute carrier domain-containing protein
O9G_001252	Bromo domain-containing protein
O9G_001253	Mitochondrial substrate/solute carrier domain-containing protein
O9G_001254	hypothetical protein
O9G_001255	hypothetical protein
O9G_001256	hypothetical protein
O9G_001257	hypothetical protein
O9G_001258	hypothetical protein
O9G_001259	hypothetical protein
O9G_001260	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_001261	hypothetical protein
O9G_001262	hypothetical protein
O9G_001263	Protein kinase, catalytic domain-containing protein
O9G_001264	hypothetical protein
O9G_001265	Ras-related protein ORAB-1
O9G_001266	Stress-activated map kinase interacting 1 domain-containing protein
O9G_001267	Protein kinase, catalytic domain-containing protein
O9G_001268	hypothetical protein
O9G_001269	EF-Hand 1, calcium-binding site domain-containing protein
O9G_001270	hypothetical protein
O9G_001271	GroES-like domain-containing protein
O9G_001272	Zinc finger, DHHC-type, palmitoyltransferase domain-containing protein
O9G_001273	Beta-grasp domain-containing protein
O9G_001274	Ribosomal protein L14 domain-containing protein
O9G_001275	hypothetical protein
O9G_001276	hypothetical protein
O9G_001277	hypothetical protein
O9G_001278	Signal transduction response regulator, receiver domain-containing protein
O9G_001279	hypothetical protein
O9G_001280	hypothetical protein
O9G_001281	Transcriptional activator Spt7 domain-containing protein
O9G_001282	Thioredoxin-like fold domain-containing protein
O9G_001283	hypothetical protein
O9G_001284	NAD(P)-binding domain-containing protein
O9G_001285	hypothetical protein
O9G_001286	Protein kinase-like domain-containing protein
O9G_001287	hypothetical protein
O9G_001288	hypothetical protein
O9G_001289	hypothetical protein
O9G_001290	hypothetical protein
O9G_001291	hypothetical protein
O9G_001292	hypothetical protein
O9G_001294	hypothetical protein
O9G_001295	hypothetical protein
O9G_001296	hypothetical protein
O9G_001297	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 domain-containing protein
O9G_001298	hypothetical protein
O9G_001299	hypothetical protein
O9G_001300	hypothetical protein
O9G_001301	hypothetical protein
O9G_001302	hypothetical protein
O9G_001303	Transcription regulator HTH, APSES-type DNA-binding domain-containing protein
O9G_001304	hypothetical protein
O9G_001305	Aconitate hydratase, mitochondrial
O9G_001306	hypothetical protein
O9G_001307	hypothetical protein
O9G_001308	hypothetical protein
O9G_001309	putative CHP00451 domain-containing protein
O9G_001310	hypothetical protein
O9G_001311	ATPase, AAA-type domain-containing protein
O9G_001312	Mitochondrial substrate/solute carrier domain-containing protein
O9G_001313	hypothetical protein
O9G_001314	hypothetical protein
O9G_001315	Glycosyl transferase, family 14 domain-containing protein
O9G_001316	hypothetical protein
O9G_001317	Small nuclear ribonucleoprotein Sm D2
O9G_001318	putative CHP00245 domain-containing protein
O9G_001319	hypothetical protein
O9G_001320	CCAAT-binding transcription factor, subunit B domain-containing protein
O9G_001321	hypothetical protein
O9G_001322	hypothetical protein
O9G_001323	ATPase, AFG1-like domain-containing protein
O9G_001324	PIH domain-containing protein
O9G_001325	hypothetical protein
O9G_001326	hypothetical protein
O9G_001327	40S ribosomal protein S15a-4
O9G_001328	DNA mismatch repair protein MutS domain-containing protein
O9G_001329	hypothetical protein
O9G_001330	hypothetical protein
O9G_001331	hypothetical protein
O9G_001332	hypothetical protein
O9G_001333	40S ribosomal protein S24
O9G_001334	Thymidylate synthase/dCMP hydroxymethylase domain-containing protein
O9G_001335	hypothetical protein
O9G_001336	hypothetical protein
O9G_001337	hypothetical protein
O9G_001338	hypothetical protein
O9G_001339	hypothetical protein
O9G_001340	Thioredoxin-like fold domain-containing protein
O9G_001341	hypothetical protein
O9G_001342	Peptidase S24/S26A/S26B/S26C, beta-ribbon domain-containing protein
O9G_001343	hypothetical protein
O9G_001344	hypothetical protein
O9G_001345	Large-conductance mechanosensitive channel domain-containing protein
O9G_001346	hypothetical protein
O9G_001347	NAD(P)-binding domain-containing protein
O9G_001348	hypothetical protein
O9G_001349	Mitochondrial substrate/solute carrier domain-containing protein
O9G_001350	DUF367 domain-containing protein
O9G_001351	hypothetical protein
O9G_001352	RIB43A domain-containing protein
O9G_001353	hypothetical protein
O9G_001354	hypothetical protein
O9G_001355	Dual specificity phosphatase domain-containing protein
O9G_001356	hypothetical protein
O9G_001357	putative heat shock protein ssa1
O9G_001358	hypothetical protein
O9G_001359	Aldo/keto reductase subgroup domain-containing protein
O9G_001360	Amino acid transporter domain-containing protein
O9G_001361	Ubiquitin conserved site domain-containing protein
O9G_001362	Exocyst complex subunit Sec15-like domain-containing protein
O9G_001363	Exocyst complex subunit Sec15-like domain-containing protein
O9G_001364	hypothetical protein
O9G_001365	hypothetical protein
O9G_001366	hypothetical protein
O9G_001367	hypothetical protein
O9G_001368	DNA-directed RNA polymerase, subunit 2 6 domain-containing protein
O9G_001369	hypothetical protein
O9G_001371	hypothetical protein
O9G_001372	hypothetical protein
O9G_001373	hypothetical protein
O9G_001374	hypothetical protein
O9G_001375	Small GTPase superfamily, ARF/SAR type domain-containing protein
O9G_001376	Zinc finger, C2H2 domain-containing protein
O9G_001377	hypothetical protein
O9G_001378	hypothetical protein
O9G_001379	Dynamin, GTPase domain-containing protein
O9G_001380	hypothetical protein
O9G_001381	Tubulin-tyrosine ligase domain-containing protein
O9G_001382	GLE1-like domain-containing protein
O9G_001383	hypothetical protein
O9G_001384	RIO-like kinase domain-containing protein
O9G_001385	hypothetical protein
O9G_001386	hypothetical protein
O9G_001387	hypothetical protein
O9G_001388	hypothetical protein
O9G_001389	hypothetical protein
O9G_001390	hypothetical protein
O9G_001391	hypothetical protein
O9G_001392	JmjC domain-containing protein
O9G_001393	hypothetical protein
O9G_001394	PAS domain-containing protein
O9G_001395	hypothetical protein
O9G_001396	hypothetical protein
O9G_001397	hypothetical protein
O9G_001398	hypothetical protein
O9G_001399	hypothetical protein
O9G_001400	hypothetical protein
O9G_001401	hypothetical protein
O9G_001402	Vacuolar membrane-associated protein Iml1 domain-containing protein
O9G_001403	Isocitrate lyase/phosphorylmutase domain-containing protein
O9G_001404	Septin domain-containing protein
O9G_001405	hypothetical protein
O9G_001406	Adenosylcobalamin biosynthesis, ATP:cob(I)alamin adenosyltransferase-like protein
O9G_001407	hypothetical protein
O9G_001408	hypothetical protein
O9G_001409	hypothetical protein
O9G_001410	Flavodoxin/nitric oxide synthase domain-containing protein
O9G_001411	GPCR, family 3 domain-containing protein
O9G_001412	hypothetical protein
O9G_001413	hypothetical protein
O9G_001414	Ku70/Ku80 beta-barrel domain-containing protein
O9G_001415	hypothetical protein
O9G_001416	Protein kinase-like domain-containing protein
O9G_001417	hypothetical protein
O9G_001418	hypothetical protein
O9G_001419	hypothetical protein
O9G_001420	hypothetical protein
O9G_001421	DNA ligase, ATP-dependent domain-containing protein
O9G_001422	hypothetical protein
O9G_001423	hypothetical protein
O9G_001424	hypothetical protein
O9G_001425	hypothetical protein
O9G_001426	hypothetical protein
O9G_001427	hypothetical protein
O9G_001428	hypothetical protein
O9G_001429	Phox domain-containing protein
O9G_001430	hypothetical protein
O9G_001431	hypothetical protein
O9G_001432	4-hydroxyphenylpyruvate dioxygenase
O9G_001433	hypothetical protein
O9G_001434	C2 calcium/lipid-binding, CaLB domain-containing protein
O9G_001435	hypothetical protein
O9G_001436	P-type trefoil domain-containing protein
O9G_001437	Mitochondrial carrier domain-containing protein
O9G_001438	ATP-dependent RNA helicase has1
O9G_001439	Kelch-type beta propeller domain-containing protein
O9G_001440	hypothetical protein
O9G_001441	DNA methylase, N-6 adenine-specific domain-containing protein
O9G_001442	hypothetical protein
O9G_001443	Ubiquitin-conjugating enzyme E2-18 kDa
O9G_001444	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_001445	DNA repair nuclease, XPF-type/Helicase domain-containing protein
O9G_001446	hypothetical protein
O9G_001447	hypothetical protein
O9G_001449	hypothetical protein
O9G_001450	hypothetical protein
O9G_001451	HAD-like domain-containing protein
O9G_001452	Nucleic acid-binding domain-containing protein
O9G_001453	hypothetical protein
O9G_001454	hypothetical protein
O9G_001455	Nucleolar, Nop52 domain-containing protein
O9G_001456	hypothetical protein
O9G_001457	hypothetical protein
O9G_001458	Rho GTPase-activating protein domain-containing protein
O9G_001459	hypothetical protein
O9G_001460	hypothetical protein
O9G_001461	Nucleolar protein 14 domain-containing protein
O9G_001462	Initiation factor 2B-related domain-containing protein
O9G_001463	Acyl-CoA dehydrogenase/oxidase domain-containing protein
O9G_001464	26S proteasome, regulatory subunit Rpn7 domain-containing protein
O9G_001465	hypothetical protein
O9G_001466	Clathrin adaptor, mu subunit domain-containing protein
O9G_001467	hypothetical protein
O9G_001468	DnaJ domain-containing protein
O9G_001469	hypothetical protein
O9G_001470	Helicase-associated domain-containing protein
O9G_001472	Phosphatidyl serine synthase domain-containing protein
O9G_001473	P25-alpha domain-containing protein
O9G_001474	hypothetical protein
O9G_001475	hypothetical protein
O9G_001476	hypothetical protein
O9G_001477	Mitochondrial substrate/solute carrier domain-containing protein
O9G_001478	Globin-like domain-containing protein
O9G_001479	hypothetical protein
O9G_001480	hypothetical protein
O9G_001481	Ribose-phosphate diphosphokinase domain-containing protein
O9G_001482	hypothetical protein
O9G_001483	Glycyl-tRNA synthetase/DNA polymerase subunit gamma-2 domain-containing protein
O9G_001484	hypothetical protein
O9G_001485	hypothetical protein
O9G_001486	Translation machinery associated TMA7 domain-containing protein
O9G_001487	hypothetical protein
O9G_001488	Ribosomal protein L44e domain-containing protein
O9G_001489	40S ribosomal protein S13
O9G_001490	Phosphatidylinositol-glycan biosynthesis class S protein domain-containing protein
O9G_001491	EF-Hand 1, calcium-binding site domain-containing protein
O9G_001492	C2 calcium/lipid-binding, CaLB domain-containing protein
O9G_001493	hypothetical protein
O9G_001494	tRNA threonylcarbamoyladenosine biosynthesis protein SUA5 domain-containing protein
O9G_001495	Vesicle tethering protein Uso1/P115-like , head domain-containing protein
O9G_001496	hypothetical protein
O9G_001497	ATP synthase subunit beta, mitochondrial
O9G_001498	40S ribosomal protein S25-2
O9G_001499	Mannose-P-dolichol utilization defect 1 protein domain-containing protein
O9G_001500	hypothetical protein
O9G_001501	Divergent CRAL/TRIO domain-containing protein
O9G_001502	Clathrin adaptor, mu subunit domain-containing protein
O9G_001503	Translocation protein Sec62 domain-containing protein
O9G_001504	hypothetical protein
O9G_001505	hypothetical protein
O9G_001506	hypothetical protein
O9G_001507	hypothetical protein
O9G_001508	Elongation factor 3-like protein
O9G_001509	hypothetical protein
O9G_001510	hypothetical protein
O9G_001511	hypothetical protein
O9G_001512	Aminoacyl-tRNA synthetase, class Ia domain-containing protein
O9G_001513	hypothetical protein
O9G_001514	General substrate transporter domain-containing protein
O9G_001515	hypothetical protein
O9G_001516	hypothetical protein
O9G_001518	hypothetical protein
O9G_001519	Protein kinase, catalytic domain-containing protein
O9G_001520	ATP-grasp fold, sub 2 domain-containing protein
O9G_001521	hypothetical protein
O9G_001522	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_001523	hypothetical protein
O9G_001524	ATPase, V1/A1 complex, subunit E domain-containing protein
O9G_001525	hypothetical protein
O9G_001526	Glutaredoxin, eukaryotic/virial domain-containing protein
O9G_001527	Kinesin-associated protein (KAP) domain-containing protein
O9G_001528	hypothetical protein
O9G_001529	Septum-promoting GTP-binding protein 1
O9G_001530	putative proteasome subunit beta type-3
O9G_001531	Diacylglycerol acyltransferase domain-containing protein
O9G_001532	hypothetical protein
O9G_001533	hypothetical protein
O9G_001534	Ngg1p interacting factor 3, NIF3 domain-containing protein
O9G_001535	Elongator complex protein 3
O9G_001536	Tubulin binding cofactor C domain-containing protein
O9G_001537	hypothetical protein
O9G_001538	Metal-dependent protein hydrolase domain-containing protein
O9G_001539	hypothetical protein
O9G_001540	hypothetical protein
O9G_001541	ADP/ATP carrier protein domain-containing protein
O9G_001542	hypothetical protein
O9G_001543	hypothetical protein
O9G_001544	ClpP domain-containing protein
O9G_001545	Protein of unknown function DUF974 domain-containing protein
O9G_001546	Exocyst complex component Sec10-like domain-containing protein
O9G_001547	hypothetical protein
O9G_001548	Nascent polypeptide-associated complex subunit beta
O9G_001549	hypothetical protein
O9G_001550	hypothetical protein
O9G_001551	Ras-related protein Rab-8A
O9G_001552	Beta-grasp domain-containing protein
O9G_001553	Quinonprotein alcohol dehydrogenase-like superfamily domain-containing protein
O9G_001554	putative pyridoxine biosynthesis protein pdx1
O9G_001555	hypothetical protein
O9G_001556	hypothetical protein
O9G_001557	5-formyltetrahydrofolate cyclo-ligase-like domain-containing protein
O9G_001558	Cyclin-like domain-containing protein
O9G_001559	hypothetical protein
O9G_001560	hypothetical protein
O9G_001561	hypothetical protein
O9G_001562	Tim17/Tim22/Tim23/peroxisomal protein PMP24 domain-containing protein
O9G_001563	hypothetical protein
O9G_001564	hypothetical protein
O9G_001565	Protein-tyrosine phosphatase, SIW14-like domain-containing protein
O9G_001566	Eukaryotic peptide chain release factor subunit 1
O9G_001567	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_001568	Thioredoxin-like fold domain-containing protein
O9G_001569	hypothetical protein
O9G_001570	40S ribosomal protein S3-A
O9G_001571	Zinc finger, RING/FYVE/PHD-type domain-containing protein
O9G_001572	hypothetical protein
O9G_001573	hypothetical protein
O9G_001574	GOLD domain-containing protein
O9G_001575	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_001576	Exocyst complex, component Exoc1 domain-containing protein
O9G_001577	Symplekin domain-containing protein
O9G_001578	MRG domain-containing protein
O9G_001579	hypothetical protein
O9G_001580	Chromate transporter domain-containing protein
O9G_001581	Kinesin, motor domain-containing protein
O9G_001582	hypothetical protein
O9G_001584	L-lactate/malate dehydrogenase domain-containing protein
O9G_001585	hypothetical protein
O9G_001586	Longin-like domain-containing protein
O9G_001587	Translation initiation factor, beta propellor-like domain-containing protein
O9G_001588	hypothetical protein
O9G_001589	Thioredoxin-1
O9G_001590	U6 snRNA-associated Sm-like protein LSm2 domain-containing protein
O9G_001591	Ribosomal protein L10/acidic P0 domain-containing protein
O9G_001592	Small GTPase superfamily, Rab type domain-containing protein
O9G_001593	hypothetical protein
O9G_001594	hypothetical protein
O9G_001595	hypothetical protein
O9G_001596	Heat shock protein 60, mitochondrial
O9G_001597	ATPase, AAA-type domain-containing protein
O9G_001598	ABC transporter domain-containing protein
O9G_001599	Zinc finger, C2H2 domain-containing protein
O9G_001600	26S protease regulatory subunit 6A
O9G_001601	hypothetical protein
O9G_001602	Dynein heavy chain-1 domain-containing protein
O9G_001603	hypothetical protein
O9G_001604	hypothetical protein
O9G_001605	Arginyl-tRNA synthetase, class Ia domain-containing protein
O9G_001606	hypothetical protein
O9G_001607	Initiation factor 2B-related domain-containing protein
O9G_001608	RNA polymerase II accessory factor, Cdc73 domain-containing protein
O9G_001609	JAB1/Mov34/MPN/PAD-1 domain-containing protein
O9G_001610	DNA-repair protein, UmuC-like domain-containing protein
O9G_001611	CCR4-NOT transcription complex subunit 7
O9G_001612	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC) domain-containing protein
O9G_001613	ADP/ATP translocase 2
O9G_001614	hypothetical protein
O9G_001615	Phosphatidylinositol 3-kinase Tor-like protein
O9G_001616	hypothetical protein
O9G_001617	Rho GTPase-activating protein domain-containing protein
O9G_001618	hypothetical protein
O9G_001619	hypothetical protein
O9G_001620	Nucleoporin Nup186/Nup192/Nup205 domain-containing protein
O9G_001621	hypothetical protein
O9G_001622	Ribosomal protein L2, bacterial/organellar-type domain-containing protein
O9G_001623	AP-1 complex subunit gamma-1-like protein
O9G_001624	Nucleic acid-binding domain-containing protein
O9G_001625	hypothetical protein
O9G_001626	hypothetical protein
O9G_001627	Fungal chitin synthase domain-containing protein
O9G_001628	Chitin synthase III catalytic subunit domain-containing protein
O9G_001629	Histone H3
O9G_001630	hypothetical protein
O9G_001631	hypothetical protein
O9G_001632	Short-chain dehydrogenase/reductase domain-containing protein
O9G_001633	hypothetical protein
O9G_001634	hypothetical protein
O9G_001635	hypothetical protein
O9G_001636	hypothetical protein
O9G_001637	Histone deacetylase superfamily domain-containing protein
O9G_001638	hypothetical protein
O9G_001640	hypothetical protein
O9G_001641	hypothetical protein
O9G_001642	hypothetical protein
O9G_001643	Ion transport domain-containing protein
O9G_001644	DNA glycosylase, G/T mismatch domain-containing protein
O9G_001645	hypothetical protein
O9G_001646	Flavoprotein WrbA domain-containing protein
O9G_001647	Zinc finger, C2H2 domain-containing protein
O9G_001648	Metallo-peptidase family M84 domain-containing protein
O9G_001649	hypothetical protein
O9G_001650	hypothetical protein
O9G_001651	hypothetical protein
O9G_001652	hypothetical protein
O9G_001653	Lysine--tRNA ligase
O9G_001654	Protein kinase, catalytic domain-containing protein
O9G_001655	hypothetical protein
O9G_001656	Regulator of chromosome condensation, RCC1 domain-containing protein
O9G_001657	hypothetical protein
O9G_001658	hypothetical protein
O9G_001659	hypothetical protein
O9G_001660	Histone H3.2
O9G_001661	Eukaryotic initiation factor 3, gamma subunit domain-containing protein
O9G_001662	Kinase associated 1 (KA1) domain-containing protein
O9G_001663	hypothetical protein
O9G_001664	hypothetical protein
O9G_001665	Protein kinase, catalytic domain-containing protein
O9G_001666	Polysaccharide deacetylase domain-containing protein
O9G_001667	Amino acid permease domain-containing protein
O9G_001668	Adaptin ear-binding coat-associated protein 1 NECAP-1 domain-containing protein
O9G_001669	Ribosome maturation protein SBDS domain-containing protein
O9G_001670	40S ribosomal protein S19-A
O9G_001671	hypothetical protein
O9G_001672	Transcription factor 25 domain-containing protein
O9G_001673	Protein FAM72 domain-containing protein
O9G_001674	hypothetical protein
O9G_001675	hypothetical protein
O9G_001676	RNA polymerase Rpb1 5 domain-containing protein
O9G_001677	hypothetical protein
O9G_001678	hypothetical protein
O9G_001679	Cleavage/polyadenylation specificity factor subunit 5 domain-containing protein
O9G_001680	Metalloenzyme, LuxS/M16 peptidase-like domain-containing protein
O9G_001681	hypothetical protein
O9G_001682	hypothetical protein
O9G_001683	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_001684	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_001685	hypothetical protein
O9G_001686	EAP30 domain-containing protein
O9G_001687	hypothetical protein
O9G_001688	Alkaline phosphatase-like, alpha/beta/alpha domain-containing protein
O9G_001689	hypothetical protein
O9G_001690	hypothetical protein
O9G_001691	hypothetical protein
O9G_001692	Tetrahydrofolate dehydrogenase/cyclohydrolase domain-containing protein
O9G_001693	Ribosomal RNA small subunit methyltransferase H domain-containing protein
O9G_001694	Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 domain-containing protein
O9G_001695	RNA recognition motif domain-containing protein
O9G_001696	hypothetical protein
O9G_001697	hypothetical protein
O9G_001698	FMN-binding split barrel domain-containing protein
O9G_001699	Structural maintenance of chromosomes Smc2 domain-containing protein
O9G_001701	hypothetical protein
O9G_001702	hypothetical protein
O9G_001703	hypothetical protein
O9G_001704	Tyrosinase domain-containing protein
O9G_001705	Ribosomal protein S13 domain-containing protein
O9G_001706	hypothetical protein
O9G_001707	hypothetical protein
O9G_001708	Nucleoporin Nup54, alpha-helical domain-containing protein
O9G_001709	Natural resistance-associated macrophage like domain-containing protein
O9G_001710	Major facilitator superfamily domain-containing protein
O9G_001711	hypothetical protein
O9G_001712	hypothetical protein
O9G_001713	hypothetical protein
O9G_001714	hypothetical protein
O9G_001715	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain-containing protein
O9G_001716	NUDIX hydrolase-like domain-containing protein
O9G_001717	hypothetical protein
O9G_001718	hypothetical protein
O9G_001719	Amino acid transporter domain-containing protein
O9G_001720	hypothetical protein
O9G_001721	Protein kinase, catalytic domain-containing protein
O9G_001722	hypothetical protein
O9G_001723	hypothetical protein
O9G_001724	hypothetical protein
O9G_001725	hypothetical protein
O9G_001726	Mitochondrial matrix Mmp37 domain-containing protein
O9G_001727	hypothetical protein
O9G_001728	Lipoyl synthase, mitochondrial
O9G_001729	hypothetical protein
O9G_001730	hypothetical protein
O9G_001731	Mitochondrial substrate/solute carrier domain-containing protein
O9G_001732	hypothetical protein
O9G_001733	Dihydropteroate synthase domain-containing protein
O9G_001734	hypothetical protein
O9G_001735	Tetraspanin/Peripherin domain-containing protein
O9G_001736	hypothetical protein
O9G_001737	DNA topoisomerase, type IA, central domain-containing protein
O9G_001738	hypothetical protein
O9G_001739	hypothetical protein
O9G_001740	hypothetical protein
O9G_001741	Protein of unknown function DUF778 domain-containing protein
O9G_001742	hypothetical protein
O9G_001743	hypothetical protein
O9G_001744	hypothetical protein
O9G_001745	hypothetical protein
O9G_001746	hypothetical protein
O9G_001747	Uracil-DNA glycosylase domain-containing protein
O9G_001748	putative enoyl-CoA hydratase
O9G_001749	Forkhead-associated (FHA) domain-containing protein
O9G_001750	Ribose 5-phosphate isomerase, type A domain-containing protein
O9G_001751	t-SNARE domain-containing protein
O9G_001752	hypothetical protein
O9G_001753	hypothetical protein
O9G_001754	Protein kinase, catalytic domain-containing protein
O9G_001755	Zinc finger, C2H2 domain-containing protein
O9G_001756	hypothetical protein
O9G_001757	hypothetical protein
O9G_001758	Heat shock protein 70 family domain-containing protein
O9G_001759	Glycosyl transferase, family 1 domain-containing protein
O9G_001760	Queuine tRNA-ribosyltransferase
O9G_001761	Mitochondrial substrate/solute carrier domain-containing protein
O9G_001762	Protein kinase, catalytic domain-containing protein
O9G_001763	hypothetical protein
O9G_001764	hypothetical protein
O9G_001765	hypothetical protein
O9G_001766	Zinc finger, DHHC-type, palmitoyltransferase domain-containing protein
O9G_001767	hypothetical protein
O9G_001768	hypothetical protein
O9G_001769	hypothetical protein
O9G_001770	hypothetical protein
O9G_001771	hypothetical protein
O9G_001773	hypothetical protein
O9G_001774	hypothetical protein
O9G_001775	hypothetical protein
O9G_001776	hypothetical protein
O9G_001777	hypothetical protein
O9G_001778	hypothetical protein
O9G_001779	hypothetical protein
O9G_001780	hypothetical protein
O9G_001781	hypothetical protein
O9G_001782	Ribonuclease H1 domain-containing protein
O9G_001783	Protein of unknown function DUF155 domain-containing protein
O9G_001784	RNA polymerase II subunit A domain-containing protein
O9G_001785	hypothetical protein
O9G_001786	hypothetical protein
O9G_001787	Nucleoside phosphatase GDA1/CD39 domain-containing protein
O9G_001788	hypothetical protein
O9G_001789	Signal transduction response regulator, receiver domain-containing protein
O9G_001790	Prohibitin domain-containing protein
O9G_001791	hypothetical protein
O9G_001792	Concanavalin A-like lectin/glucanase, subgroup domain-containing protein
O9G_001793	hypothetical protein
O9G_001794	Acidic fibroblast growth factor binding domain-containing protein
O9G_001795	Protein kinase, catalytic domain-containing protein
O9G_001796	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain-containing protein
O9G_001797	hypothetical protein
O9G_001798	hypothetical protein
O9G_001799	hypothetical protein
O9G_001800	Heat shock protein 70 domain-containing protein
O9G_001801	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_001802	hypothetical protein
O9G_001803	hypothetical protein
O9G_001804	RNA recognition motif domain-containing protein
O9G_001805	hypothetical protein
O9G_001806	hypothetical protein
O9G_001807	hypothetical protein
O9G_001808	Vps53-like domain-containing protein
O9G_001809	SAC3/GANP/Nin1/mts3/eIF-3 p25 domain-containing protein
O9G_001810	Peptidase S9, prolyl oligopeptidase, catalytic domain-containing protein
O9G_001811	Tetratricopeptide-like helical domain-containing protein
O9G_001812	Thioredoxin-like fold domain-containing protein
O9G_001813	hypothetical protein
O9G_001814	hypothetical protein
O9G_001815	hypothetical protein
O9G_001816	P-type ATPase, A domain-containing protein
O9G_001817	hypothetical protein
O9G_001818	hypothetical protein
O9G_001819	Histone H2B.1
O9G_001820	hypothetical protein
O9G_001821	Dienelactone hydrolase domain-containing protein
O9G_001822	hypothetical protein
O9G_001823	60S ribosomal protein L23a
O9G_001825	Proteasome component ECM29/Translational activator GCN1-like protein
O9G_001827	hypothetical protein
O9G_001828	hypothetical protein
O9G_001829	Thioredoxin domain-containing protein
O9G_001830	hypothetical protein
O9G_001831	RNA polymerase II-associated, Paf1 domain-containing protein
O9G_001832	hypothetical protein
O9G_001833	Pyridoxal phosphate-dependent transferase domain-containing protein 1
O9G_001834	hypothetical protein
O9G_001835	Histone deposition protein Asf1 domain-containing protein
O9G_001836	hypothetical protein
O9G_001837	hypothetical protein
O9G_001838	hypothetical protein
O9G_001839	Ribosomal protein L10/L12 domain-containing protein
O9G_001840	hypothetical protein
O9G_001841	hypothetical protein
O9G_001842	hypothetical protein
O9G_001843	Nucleic acid-binding domain-containing protein
O9G_001844	hypothetical protein
O9G_001845	hypothetical protein
O9G_001846	hypothetical protein
O9G_001847	Growth arrest-specific protein 8 domain-containing protein
O9G_001848	Peptidase S9, prolyl oligopeptidase, catalytic domain-containing protein
O9G_001849	hypothetical protein
O9G_001850	hypothetical protein
O9G_001851	hypothetical protein
O9G_001852	hypothetical protein
O9G_001853	hypothetical protein
O9G_001854	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_001855	hypothetical protein
O9G_001856	Transcription factor IIA, beta-barrel domain-containing protein
O9G_001857	hypothetical protein
O9G_001858	Lon protease domain-containing protein
O9G_001859	hypothetical protein
O9G_001860	hypothetical protein
O9G_001861	Coatomer, WD associated region domain-containing protein
O9G_001862	hypothetical protein
O9G_001863	Lysozyme-like domain-containing protein
O9G_001864	hypothetical protein
O9G_001865	hypothetical protein
O9G_001866	Ras-related GTP-binding protein A
O9G_001867	Ornithine aminotransferase car2
O9G_001868	hypothetical protein
O9G_001869	Serine/threonine-dual specificity kinase domain-containing protein
O9G_001870	hypothetical protein
O9G_001871	hypothetical protein
O9G_001872	Elongation factor, GTP-binding domain-containing protein
O9G_001873	hypothetical protein
O9G_001874	hypothetical protein
O9G_001875	hypothetical protein
O9G_001880	hypothetical protein
O9G_001881	hypothetical protein
O9G_001882	hypothetical protein
O9G_001883	hypothetical protein
O9G_001884	hypothetical protein
O9G_001885	Protein-tyrosine phosphatase domain-containing protein
O9G_001886	hypothetical protein
O9G_001887	Zinc finger, GATA-type domain-containing protein
O9G_001888	hypothetical protein
O9G_001889	SIT4 phosphatase-associated protein family domain-containing protein
O9G_001890	hypothetical protein
O9G_001891	hypothetical protein
O9G_001892	Septin domain-containing protein
O9G_001893	putative protein arginine N-methyltransferase
O9G_001894	hypothetical protein
O9G_001895	Microtuble associated XMAP215-like protein
O9G_001897	hypothetical protein
O9G_001898	Lipase, class 3 domain-containing protein
O9G_001899	hypothetical protein
O9G_001900	Rab-GTPase-TBC domain-containing protein
O9G_001901	Tyrosine-tRNA ligase, bacterial-type domain-containing protein
O9G_001902	hypothetical protein
O9G_001903	Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase-like protein
O9G_001904	hypothetical protein
O9G_001905	hypothetical protein
O9G_001906	hypothetical protein
O9G_001907	hypothetical protein
O9G_001908	Ubiquitin-conjugating enzyme E2-16 kDa
O9G_001909	hypothetical protein
O9G_001910	hypothetical protein
